index,true,pred
17,3,5
18,2,6
33,3,5
35,0,7
38,3,8
39,3,6
42,2,4
47,2,0
55,2,5
78,3,5
80,3,9
83,5,3
84,7,4
90,2,5
123,2,6
162,4,7
179,0,5
180,4,2
189,0,9
203,3,5
229,3,5
230,7,9
232,6,4
283,2,3
284,0,8
296,4,7
300,2,3
303,2,0
333,3,4
335,2,3
337,5,6
342,3,6
346,4,6
356,2,3
358,2,4
370,3,5
392,0,5
393,1,0
416,3,5
446,3,6
448,0,8
450,5,8
459,8,0
478,7,4
483,2,6
517,3,5
548,3,5
559,2,7
604,0,8
626,0,4
627,8,1
629,3,5
638,3,5
639,3,8
646,2,3
647,7,3
673,2,4
701,2,6
703,9,5
755,6,5
775,2,5
778,2,6
785,3,5
801,3,6
804,2,5
809,3,5
810,2,5
817,5,4
820,2,3
844,4,7
845,3,5
850,3,6
853,5,3
857,3,5
864,2,3
868,4,9
878,3,5
882,3,5
904,4,5
912,2,6
917,1,9
918,5,3
932,5,3
939,4,6
949,3,6
961,6,2
974,0,8
993,5,7
1008,2,5
1024,2,4
1025,3,5
1037,1,9
1040,2,3
1041,3,5
1048,3,5
1055,3,4
1067,2,5
1089,7,9
1100,3,5
1107,2,4
1109,3,5
1119,0,8
1122,2,4
1136,5,6
1146,2,3
1156,5,9
1164,3,6
1171,9,8
1174,8,3
1187,0,4
1202,3,5
1204,5,3
1222,6,5
1252,3,9
1254,4,0
1271,3,5
1288,2,4
1316,3,5
1322,9,6
1343,9,1
1349,4,7
1350,4,3
1352,7,4
1377,1,7
1382,0,8
1413,1,8
1415,2,9
1425,4,6
1443,2,5
1470,0,1
1481,0,7
1487,3,5
1488,7,6
1489,7,3
1523,2,4
1530,2,4
1532,2,3
1533,2,0
1534,3,5
1538,5,7
1540,0,2
1547,1,8
1557,4,3
1560,0,7
1561,7,9
1566,2,3
1577,7,4
1578,1,9
1580,5,4
1593,0,8
1606,2,4
1618,5,3
1640,4,8
1654,4,7
