index,true,pred
0,6,7
2,9,4
3,4,6
4,1,0
5,1,9
6,2,7
8,8,0
9,3,4
11,7,9
12,7,4
13,2,9
15,9,0
17,3,6
18,2,6
21,3,7
24,2,9
27,5,9
30,0,9
34,4,7
35,0,9
36,3,5
38,3,4
39,3,6
41,2,4
42,2,4
44,1,6
45,1,9
47,2,4
48,2,7
49,0,3
51,5,7
53,9,0
54,2,7
55,2,9
56,5,7
57,2,6
59,3,4
61,1,9
62,8,0
63,2,9
64,1,9
65,1,9
66,4,8
69,8,0
70,5,2
71,9,5
72,6,9
74,3,7
75,1,9
76,9,0
78,3,7
79,1,7
80,3,9
81,5,7
82,4,6
84,7,4
86,4,7
89,4,7
90,2,6
92,8,4
94,1,8
95,6,7
97,1,7
98,4,6
100,8,0
105,1,2
106,8,0
107,5,3
108,2,3
109,9,4
110,9,4
111,8,0
113,7,4
114,7,2
116,0,6
123,2,0
127,9,2
128,5,7
130,4,7
134,1,9
135,8,0
136,1,9
139,8,0
140,1,8
141,3,6
144,2,7
145,4,7
146,9,7
147,9,4
148,5,9
153,4,3
155,8,4
156,5,3
158,4,1
161,8,0
162,4,7
165,0,9
167,5,7
168,1,9
169,3,7
170,8,6
171,2,9
173,5,7
174,3,7
175,4,7
179,0,7
180,4,2
182,5,3
183,5,9
189,0,7
190,8,6
192,8,0
195,5,7
197,3,7
198,5,9
200,6,7
202,9,1
203,3,2
204,6,7
205,9,8
207,3,9
212,1,9
214,9,8
215,5,3
217,5,7
218,2,9
220,0,4
222,8,9
225,9,1
229,3,5
230,7,0
231,6,7
232,6,7
235,6,7
238,1,9
239,5,7
240,8,0
241,3,0
244,8,0
245,6,1
246,8,5
248,6,7
249,6,1
250,1,9
251,3,9
252,8,0
254,4,7
255,1,9
259,8,9
260,5,7
263,4,7
266,3,0
268,4,9
269,9,2
271,2,4
272,4,7
274,9,4
275,1,9
277,5,9
279,0,8
280,8,1
282,1,2
283,2,9
285,5,4
286,6,7
288,2,6
292,6,7
293,0,5
297,5,7
298,6,1
300,2,3
304,1,9
305,5,9
306,9,2
307,9,7
308,0,1
309,8,0
311,1,9
314,3,7
315,3,0
316,9,4
319,9,2
324,5,9
327,6,1
328,8,6
329,7,4
331,3,5
332,0,9
333,3,2
334,3,7
335,2,9
337,5,6
338,7,4
339,5,9
340,9,0
343,4,7
345,4,7
346,4,7
349,0,6
350,6,4
351,6,0
353,8,1
354,1,9
355,6,7
356,2,7
358,2,4
359,5,3
361,6,3
362,7,4
364,1,7
365,8,0
367,3,7
368,6,7
370,3,7
372,4,7
374,5,7
377,3,7
380,5,7
381,4,7
382,7,9
384,3,1
386,7,9
387,6,7
390,4,7
392,0,5
393,1,0
396,1,9
397,8,5
398,4,7
399,4,6
400,2,5
401,0,9
402,2,9
403,2,6
406,9,0
407,0,4
410,8,9
415,0,9
416,3,5
423,2,6
424,5,9
426,5,9
427,1,9
428,9,1
429,4,7
430,8,4
431,5,7
435,4,9
437,6,7
441,8,0
442,8,0
443,9,0
446,3,6
447,4,1
449,4,7
450,5,7
451,6,7
456,8,0
458,4,7
459,8,0
460,8,6
462,5,9
464,6,7
465,8,0
467,0,4
471,5,7
472,9,0
474,2,7
476,3,7
480,9,4
483,2,6
485,8,0
489,4,6
490,4,7
492,7,6
493,1,7
494,3,7
496,8,4
497,0,6
498,1,9
499,7,0
500,5,7
501,8,9
502,2,9
503,8,4
509,8,9
510,2,9
511,9,1
512,9,0
513,2,6
515,5,7
517,3,4
519,8,7
520,4,7
521,4,7
522,2,7
523,7,9
525,6,1
526,4,7
533,2,6
535,5,3
536,1,2
541,9,0
542,5,7
543,4,7
544,2,9
546,8,9
548,3,4
550,3,1
551,7,9
553,9,0
555,0,1
556,6,7
559,2,4
561,1,6
562,8,0
565,1,7
566,8,0
567,8,6
568,1,9
569,5,7
570,7,6
572,4,6
573,5,3
574,8,0
579,9,1
580,8,4
582,7,9
583,3,9
585,8,0
586,2,7
590,1,6
591,6,2
592,8,0
594,9,2
596,8,0
597,3,7
599,1,6
607,5,7
609,8,4
610,8,4
611,7,4
613,9,8
615,9,7
616,4,7
617,1,9
621,4,7
625,6,7
626,0,3
627,8,4
629,3,4
631,8,0
632,4,7
633,6,3
636,7,9
637,0,3
638,3,7
639,3,4
640,6,9
642,4,3
646,2,7
647,7,3
648,2,6
649,2,7
652,7,6
653,5,2
659,9,5
660,4,7
661,4,6
666,9,2
671,7,3
672,9,1
673,2,7
674,4,7
675,5,7
677,4,7
678,3,6
679,9,1
680,6,7
681,5,7
684,3,4
686,5,7
691,3,7
693,4,7
696,2,9
697,5,9
700,0,9
701,2,6
702,3,7
703,9,7
704,8,6
706,9,1
707,8,1
710,6,4
712,4,7
714,1,9
715,8,0
717,3,7
718,6,7
722,7,9
723,8,4
724,2,7
725,4,7
726,5,3
729,5,7
734,5,7
736,8,4
738,6,7
740,3,7
741,8,0
745,6,7
749,9,0
751,5,3
753,1,9
754,7,9
755,6,7
759,7,9
760,7,3
762,5,7
763,9,0
764,4,7
767,5,3
770,6,9
772,1,9
774,3,1
776,3,1
777,8,0
780,4,7
783,0,9
784,5,7
785,3,0
786,8,0
787,2,3
788,3,0
792,3,7
793,8,0
796,2,6
797,7,4
799,0,9
801,3,9
802,2,6
803,2,7
804,2,7
805,3,7
806,3,6
808,2,0
809,3,5
810,2,9
812,0,9
813,5,3
814,5,7
815,1,9
816,4,2
817,5,3
819,6,9
820,2,6
823,1,8
824,7,4
826,8,3
828,9,8
831,4,7
832,2,3
835,1,9
836,6,7
841,1,9
842,7,9
843,0,8
844,4,9
846,3,7
848,1,9
851,5,6
853,5,3
856,4,1
857,3,9
859,8,0
860,8,4
861,3,9
864,2,0
869,3,7
870,8,1
872,0,3
875,5,7
876,4,1
877,9,1
880,8,9
881,9,7
882,3,4
883,9,0
885,2,1
889,2,0
891,8,0
892,8,4
893,1,9
894,5,3
897,8,7
898,7,9
900,9,7
901,8,0
903,6,7
904,4,7
907,2,7
908,5,9
909,8,0
910,2,6
911,0,2
912,2,9
915,9,7
917,1,9
918,5,3
919,5,9
922,3,4
923,6,9
924,2,1
925,4,3
926,7,9
927,0,4
928,5,0
929,6,7
930,4,7
932,5,3
933,2,0
937,6,7
939,4,7
941,3,9
944,5,4
946,4,7
947,1,9
949,3,6
950,9,4
951,4,7
955,3,7
957,2,6
958,8,9
963,2,7
965,0,9
966,4,7
967,8,4
969,3,5
970,9,8
971,8,0
972,7,9
973,7,8
975,2,7
977,1,6
978,1,8
979,4,6
980,1,9
981,5,3
984,5,3
985,6,7
986,2,6
987,8,0
988,5,9
989,0,8
993,5,7
995,3,7
996,5,7
998,3,2
999,5,3
1000,9,1
1001,4,7
1002,3,1
1003,2,7
1004,4,6
1005,4,7
1006,1,8
1008,2,3
1009,2,4
1010,3,6
1011,8,0
1012,0,4
1013,6,7
1014,8,1
1017,6,0
1018,4,7
1020,1,8
1021,1,7
1022,4,3
1024,2,6
1025,3,0
1027,6,7
1030,3,2
1032,8,4
1035,6,9
1037,1,8
1040,2,9
1041,3,5
1043,9,2
1045,9,8
1046,7,9
1048,3,9
1052,1,9
1054,7,9
1055,3,6
1056,8,0
1058,8,0
1059,3,7
1060,8,0
1061,5,9
1063,6,7
1064,1,7
1066,5,3
1067,2,7
1069,4,6
1070,3,7
1074,3,9
1080,8,9
1081,5,7
1084,2,4
1085,6,7
1088,5,3
1089,7,4
1090,1,9
1093,5,0
1094,7,9
1096,5,3
1099,9,1
1100,3,7
1101,6,7
1102,9,8
1103,1,8
1104,3,4
1107,2,7
1111,5,3
1115,9,4
1116,8,0
1122,2,1
1124,3,2
1127,3,0
1130,0,1
1134,5,7
1136,5,7
1137,9,7
1138,8,6
1139,2,0
1140,9,2
1141,8,6
1142,0,3
1143,4,6
1146,2,9
1148,4,7
1151,8,9
1152,5,2
1153,1,8
1156,5,9
1157,5,7
1160,3,7
1162,8,0
1164,3,7
1166,0,2
1167,7,4
1172,5,7
1174,8,9
1180,2,7
1181,8,0
1183,8,0
1188,0,2
1191,6,7
1196,3,7
1202,3,7
1204,5,3
1206,5,0
1209,2,9
1212,4,0
1216,0,9
1217,9,7
1222,6,9
1223,9,4
1224,5,3
1225,4,7
1227,0,9
1228,6,7
1229,8,0
1231,9,5
1234,0,6
1235,9,1
1236,8,4
1239,8,3
1240,1,4
1242,1,9
1243,0,4
1244,5,7
1245,8,3
1246,6,7
1250,8,0
1251,1,9
1252,3,6
1253,9,1
1254,4,0
1255,8,0
1258,2,5
1261,8,6
1263,9,1
1264,4,9
1265,3,0
1266,0,7
1269,4,7
1270,0,2
1271,3,7
1272,5,4
1273,7,9
1274,5,7
1275,7,9
1280,5,1
1281,3,9
1283,2,6
1284,4,6
1285,2,7
1287,1,9
1288,2,7
1289,8,0
1291,2,7
1292,8,4
1293,1,9
1299,4,6
1300,8,0
1301,1,9
1302,7,4
1303,4,7
1305,1,9
1307,2,7
1308,7,4
1309,7,9
1310,4,7
1312,4,7
1315,4,7
1317,6,7
1318,6,7
1320,1,7
1321,3,1
1322,9,7
1323,8,0
1325,8,7
1327,6,7
1328,2,3
1330,5,7
1331,5,7
1333,4,7
1336,8,1
1337,8,0
1338,0,1
1339,4,7
1343,9,1
1344,5,3
1346,5,4
1347,4,7
1348,4,9
1349,4,7
1350,4,3
1355,5,9
1356,1,0
1359,2,1
1361,9,4
1362,6,7
1364,1,9
1366,4,8
1368,3,4
1370,8,4
1371,6,1
1372,2,6
1373,4,7
1374,6,7
1375,8,0
1377,1,2
1378,9,8
1379,9,2
1382,0,1
1384,9,3
1385,4,7
1386,7,9
1387,4,7
1390,9,2
1392,8,4
1394,1,7
1395,7,6
1396,4,7
1397,8,0
1398,8,0
1400,0,1
1401,5,4
1402,6,9
1405,3,6
1408,1,9
1409,2,9
1411,5,4
1412,7,8
1413,1,0
1416,8,9
1419,5,7
1420,6,7
1421,1,9
1423,5,9
1425,4,6
1426,3,5
1427,3,0
1429,8,9
1430,2,9
1431,8,0
1433,9,0
1438,2,0
1442,7,9
1443,2,3
1444,2,6
1445,7,4
1446,1,9
1448,1,2
1449,3,7
1450,4,7
1451,4,3
1454,0,2
1455,1,9
1456,9,8
1457,4,0
1460,5,2
1461,3,1
1462,9,1
1464,1,9
1466,0,2
1467,9,0
1468,8,6
1470,0,9
1471,4,7
1474,5,9
1475,2,9
1476,1,9
1477,0,1
1479,8,0
1481,0,4
1482,5,2
1486,5,7
1488,7,6
1490,7,4
1492,2,9
1497,2,6
1498,7,9
1499,3,6
1501,2,1
1506,8,0
1508,8,0
1509,4,9
1510,3,0
1512,8,1
1513,5,3
1516,4,6
1517,5,7
1519,5,3
1520,1,9
1521,5,6
1523,2,7
1525,5,9
1526,4,1
1527,2,3
1528,3,6
1530,2,4
1532,2,7
1533,2,0
1534,3,7
1535,4,7
1536,6,0
1538,5,9
1539,3,6
1540,0,2
1542,2,1
1545,5,7
1546,3,7
1547,1,9
1551,1,9
1552,6,9
1553,3,7
1557,4,9
1558,8,0
1560,0,7
1561,7,4
1562,7,4
1564,8,0
