index,true,pred
24,4,2
55,6,0
113,6,3
169,0,4
181,4,6
194,4,2
204,3,2
215,3,4
273,2,4
287,8,3
292,6,0
297,6,2
339,4,3
350,2,3
398,2,6
405,2,4
416,2,4
495,6,0
501,2,6
502,6,4
506,6,0
526,6,0
545,2,4
549,6,0
550,3,0
595,3,6
609,3,2
612,4,6
640,0,6
645,0,6
649,3,4
687,4,3
688,6,0
698,4,2
700,0,6
701,3,4
707,2,4
801,8,3
860,6,2
863,3,4
912,4,6
955,2,6
970,6,2
979,4,2
1009,6,4
1022,2,4
1074,6,0
1087,6,2
1110,0,2
1119,6,0
1174,2,4
1202,0,6
1206,2,4
1262,4,6
1271,4,3
1279,2,6
1338,4,2
1369,3,4
1419,6,0
1442,2,3
1456,2,4
1489,0,6
1494,6,2
1521,6,2
1543,6,2
1595,2,6
1600,3,6
1617,4,3
1642,6,3
1660,4,6
1681,0,3
1684,6,4
1687,6,3
1705,9,7
1722,6,2
1761,1,0
1823,2,0
1824,4,2
1840,6,0
1851,2,6
1853,4,2
1862,6,3
1864,2,4
1876,4,2
1963,2,0
2012,6,0
2044,4,3
2052,0,6
2058,0,6
2062,0,6
2069,4,6
2106,6,2
2110,4,6
2131,6,0
2144,6,2
2172,2,4
2187,4,3
2211,2,4
2213,0,3
2214,6,4
2222,6,2
2239,2,6
2241,4,2
2264,4,2
2276,2,4
2288,9,7
2329,2,6
2367,0,6
2394,6,2
2405,3,0
2414,2,4
2433,6,0
2446,6,0
2454,2,4
2468,6,3
2490,4,6
2529,4,6
2562,2,3
2563,2,0
2611,6,0
2620,2,4
2658,6,0
2661,3,8
2683,1,3
2708,6,0
2775,6,1
2785,4,2
2787,4,3
2798,6,4
2809,0,1
2814,6,4
2829,3,4
2843,6,0
2918,3,6
2958,2,4
2978,6,0
2980,6,2
3010,2,4
3033,2,6
3086,0,6
3087,6,0
3104,4,2
3121,9,7
3124,2,4
3130,0,6
3170,6,0
3214,2,0
3234,6,2
3270,6,0
3298,6,0
3331,6,2
3333,0,6
3374,2,8
3376,2,4
3391,2,4
3415,2,4
3451,2,4
3512,0,3
3518,2,4
3533,6,0
3547,4,2
3566,2,4
3589,6,2
3598,2,4
3625,2,6
3639,6,4
3648,6,0
3657,6,4
3694,2,4
3711,0,6
3807,4,2
3829,0,3
3856,2,4
3870,3,0
3902,2,4
3904,2,4
3938,6,0
3946,6,0
3973,1,3
3988,4,6
4027,6,3
4031,6,0
4033,6,0
4034,6,0
4046,6,4
4084,2,0
4085,0,6
4091,4,6
4131,6,4
4135,3,1
4150,6,2
4166,4,2
4179,6,0
4210,0,6
4219,6,2
4244,2,4
4288,2,6
4306,9,7
4317,2,4
4321,6,4
4353,6,2
4355,2,6
4375,2,4
4388,0,6
4424,0,2
4450,2,4
4587,4,6
4628,4,2
4759,2,4
4773,6,2
4814,6,0
4836,4,6
4935,6,0
4944,6,0
4950,4,2
4966,2,4
5006,4,3
5035,3,0
5040,9,7
5049,2,4
5066,4,3
5106,4,2
5118,6,0
5123,6,0
5132,4,2
5165,6,0
5167,6,3
5206,2,4
5219,6,3
5222,6,0
5226,4,2
5254,0,3
5324,2,4
5331,4,3
5347,6,2
5358,0,6
5399,4,2
5423,2,6
5432,2,6
5445,6,0
5451,9,7
5486,2,4
5495,3,4
5512,1,3
5546,0,2
5598,6,2
5600,9,7
5635,2,4
5668,6,2
5698,2,6
5703,0,6
5705,6,0
5712,6,0
5765,2,6
5827,2,0
5861,6,0
5925,6,2
5933,0,6
5936,2,4
5950,3,0
6003,4,2
6046,6,2
6059,2,4
6090,6,4
6114,2,3
6129,3,0
6169,2,6
6197,2,6
6225,2,6
6281,6,0
6350,2,6
6359,4,3
6404,2,4
6435,2,6
6447,3,6
6460,3,4
6466,6,0
6471,6,3
6496,6,2
6527,0,6
6533,2,4
6611,4,2
6613,0,6
6623,0,3
6638,6,0
6657,6,0
6664,6,2
6701,6,2
6728,0,6
6730,2,3
6776,6,0
6867,4,2
6880,2,6
6881,2,6
6930,4,2
6947,3,6
6976,2,6
7001,0,6
7097,6,3
7103,6,0
7141,3,4
7165,6,3
7170,4,3
7190,6,4
7191,6,0
7200,0,2
7209,6,4
7246,2,4
7264,6,0
7303,0,6
7345,6,2
7351,2,4
7389,6,4
7400,6,0
7417,6,4
7422,6,0
7424,4,2
7470,6,0
7490,6,0
7509,5,7
7529,4,3
7608,6,2
7613,6,0
7619,2,6
7632,4,6
7636,6,4
7667,0,6
7670,2,6
7742,4,2
7745,2,4
7765,2,0
7770,6,0
7790,3,4
7827,4,6
7841,6,0
7845,2,6
7880,3,6
7898,6,0
7903,6,2
7928,6,4
7946,6,4
7979,0,3
8008,6,4
8019,6,2
8035,6,0
8040,6,0
8047,3,0
8060,0,2
8070,0,6
8097,3,0
8127,6,0
8132,6,0
8137,4,0
8141,0,6
8211,2,4
8270,2,4
8283,2,4
8290,3,4
8316,2,3
8319,2,4
8329,8,4
8330,6,2
8393,6,4
8441,6,0
8534,4,2
8574,0,6
8585,3,0
8635,2,4
8642,4,3
8678,4,6
8717,6,4
8718,0,6
8721,9,7
8756,0,6
8770,6,0
8788,3,4
