index,true,pred
7,2,4
18,6,4
25,3,4
27,2,4
32,6,4
39,6,4
40,6,4
41,7,9
53,2,4
55,6,0
65,2,4
77,6,0
83,7,5
104,6,4
108,7,5
112,6,4
113,6,3
124,2,4
125,2,4
140,6,4
142,7,9
147,2,4
157,6,0
158,7,8
164,6,0
165,2,8
168,6,0
169,0,4
186,0,3
197,2,4
203,6,4
206,6,0
215,3,4
221,7,9
226,6,3
228,2,4
232,6,0
234,2,4
235,6,4
245,6,3
249,7,9
252,6,4
253,2,4
256,6,0
260,2,4
269,0,3
271,2,4
273,2,4
280,6,8
287,8,4
292,6,0
297,6,4
301,6,4
306,6,4
309,6,4
310,7,5
316,6,3
339,4,3
341,7,5
344,6,4
346,6,0
350,2,4
353,6,0
355,7,9
357,7,5
361,6,4
367,6,0
368,6,4
398,2,6
405,2,4
410,6,0
416,2,4
422,2,0
447,7,5
462,2,4
470,6,0
472,7,5
480,6,4
485,6,2
495,6,0
500,3,4
501,2,4
502,6,4
506,6,0
508,3,4
526,6,0
527,6,4
543,6,4
544,2,4
545,2,4
546,2,4
549,6,0
550,3,0
554,6,2
560,6,4
571,3,4
574,2,4
575,7,5
580,2,4
585,6,4
586,6,4
590,6,4
595,3,0
609,3,4
616,2,4
623,6,4
635,7,9
637,2,4
649,3,4
664,2,4
673,3,4
684,2,4
688,6,1
689,7,9
694,7,5
696,2,4
697,7,5
701,3,4
707,2,4
737,6,4
748,6,0
749,2,4
755,2,4
762,6,0
766,6,3
773,6,8
776,6,4
779,6,4
786,6,4
790,6,0
793,2,4
801,8,0
809,6,4
819,7,9
820,6,0
834,7,5
838,6,4
855,2,4
860,6,2
861,6,4
863,3,4
865,1,0
875,6,3
881,6,4
882,6,4
895,6,4
900,2,4
903,6,4
904,7,9
906,6,0
925,6,4
931,2,4
934,2,4
939,2,4
940,6,4
945,6,4
949,6,4
955,2,3
960,6,4
970,6,4
975,6,4
981,2,4
982,6,4
985,2,4
987,6,8
995,7,5
996,3,4
1002,2,4
1003,6,4
1009,6,4
1014,6,4
1022,2,4
1026,3,4
1064,3,4
1068,2,0
1070,2,4
1072,2,0
1074,6,0
1078,6,0
1087,6,4
1091,6,4
1092,6,0
1096,6,8
1101,6,0
1106,7,9
1109,2,4
1110,0,2
1112,6,0
1116,6,4
1119,6,0
1123,7,9
1124,2,4
1126,7,9
1137,2,4
